record_id,publication_year,TI,relevance_tier,topic_id,topic_loading,lsa_x,lsa_y
WCC00638,2025,"The Hidden Carbon Cost of Forest Fire Management: Quantifying Greenhouse Gas Emissions from Both Vegetation Burning and Social Rescue Activities in Yajiang County, China",Core_direct,4,0.10745999796560823,0.14393640888252088,0.04012547965796591
WCC12129,2020,Wildfire and harvesting effects on carbon dynamics in an oak-pine mixed forest,Core_direct,8,0.07606363162483917,0.19453547380293695,-0.1142186791267943
WCC08792,2022,Disaster risk management: Focused to flood hazard and its impact in Pakistan,Contextual_or_indirect,6,0.09446075949632686,0.1395387453470175,0.181134247941014
WCC01008,2020,The Role of Feral Goats in Maintaining Firebreaks by Using Attractants,Core_direct,10,0.03094305996420275,0.13621259299568206,0.02094457654919048
WCC09163,2023,Broadening scientific engagement and inclusivity in IPCC reports through collaborative technology platforms,Core_direct,6,0.05460780050629957,0.10331758066237785,0.08505682520017586
WCC12692,2024,"Exploring the ethnobiological practices of fire in three natural regions of Ecuador, through the integration of traditional knowledge and scientific approaches",Core_direct,11,0.058507291856709304,0.17662790402027007,0.051982199484251417
WCC03278,2022,Spatial Clustering of Vegetation Fire Intensity Using MODIS Satellite Data,Core_direct,7,0.06934263142205967,0.12169326252441157,-0.006923656433136256
WCC09632,2025,Heat Risk Interdependencies in the UK: Implications for Adaptation,Contextual_or_indirect,6,0.08917626889304503,0.1611046371332803,0.16183239548957393
WCC02202,2003,Accelerator mass spectrometry at Arizona: geochronology of the climate record and connections with the ocean,Core_direct,3,0.03749172334330854,0.0847297134169952,-0.012932393885629837
WCC11143,2021,Wildlife Response to Wildfire in a Northern New York Jack Pine Barrens,Contextual_or_indirect,1,0.07003107584682301,0.1613313554100344,-0.08763260415930108
WCC02567,2024,Fire sparks upslope range shifts of North Cascades plant species,Core_direct,10,0.056245603130978844,0.15133484723847423,-0.07793635594528031
WCC12546,2010,Verification of Mesoscale NWP Forecasts of Abrupt Cold Frontal Wind Changes,Contextual_or_indirect,2,0.057720656863352246,0.1312828752690113,0.035598789736593445
WCC10229,2021,Emissions of toxic gases and aerosols in southern Africa observed during the 2019 JJASO period,Core_direct,5,0.06272927280685377,0.14465851757049744,-0.008050877584685883
WCC09977,2023,"No evidence of a northward biome shift of treeline in the Mackay Lake region, north-central Canada",Core_direct,1,0.10369352932282463,0.1433717738063008,-0.11010210417590545
WCC11625,2021,Invigorating Prescribed Fire Science Through Improved Reporting Practices,Contextual_or_indirect,0,0.08703170045514164,0.1659103963162954,0.055467698489785174
WCC01306,2016,Detecting unburned areas within wildfire perimeters using Landsat and ancillary data across the northwestern United States,Core_direct,11,0.08484492594440216,0.1870550730223482,-0.04970720938968809
WCC02607,2022,"Forest management under uncertainty: the influence of management versus climate change and wildfire in the Lake Tahoe Basin, USA.",Core_direct,0,0.045239168765182025,0.1784269854883362,-0.03250472404405351
WCC08376,2015,Mitigating risks of future wildfires by management of the forest composition: an analysis of the offsetting potential through boreal Canada,Core_direct,13,0.05945213684340502,0.18576384238191346,-0.06203453369944556
WCC06199,2017,"Early Mediterranean pine recruitment in burned and unburned Pinus nigra Arn. ssp salzmannii stands of central Spain: Influence of species identity, provenances and post-dispersal predation",Core_direct,1,0.18395010877392345,0.14846438268840167,-0.10549829522689035
WCC06336,2013,How does N deposition affect belowground heathland recovery following wildfire?,Core_direct,8,0.09096681119899892,0.17721556847213712,-0.10716221447382174
WCC08527,2007,Drivers of fire in the boreal forests: Data constrained design of a prognostic model of burned area for use in dynamic global vegetation models,Core_direct,4,0.03994158714150613,0.19621338777527728,-0.07423085421822628
WCC12712,2024,On the potential of using smartphone sensors for wildfire hazard estimation through citizen science,Contextual_or_indirect,2,0.06798464671420189,0.18240938568089765,0.11191933326042633
WCC06083,2020,Quantifying long-term post-fire sediment delivery and erosion mitigation effectiveness,Contextual_or_indirect,11,0.06170422489771362,0.15400394184834731,-0.05295698080143931
WCC12488,2015,Climate-driven past fires in central Sicily,Core_direct,3,0.09548905415152781,0.17920728110384498,-0.08766579947946816
WCC06032,2025,Repositioning green policy and green innovations for energy transition and net zero target: New evidence and policy actions,Core_direct,4,0.0651987112251425,0.15356963106198623,0.07919979937620009
WCC05858,2011,Impact of wildfire in Russia between 1998-2010 on ecosystems and the global carbon budget,Core_direct,4,0.10573907482465619,0.1361642471912439,-0.04222682787719453
WCC00662,2017,The progress of operational forest fire monitoring with infrared remote sensing,Core_direct,7,0.1073822942198051,0.1331260309101879,0.06729487691910988
WCC06506,2017,Dual stable isotopes of CH4 from Yellowstone hot-springs suggest hydrothermal processes involving magmatic CO2,Contextual_or_indirect,4,0.05748609023370586,0.13318441783050752,-0.04231609766731849
WCC11748,2025,Mapping discrete forest age classes of Mediterranean pinelands since the pre-satellite era using historical orthoimage mosaics and machine learning,Core_direct,7,0.06898100210050508,0.19913743246220988,0.002782469997557552
WCC04879,2021,"Disaster diaspora and the consequences of economic displacement and climate disruption, including Hurricanes Matthew (October 8, 2016) and Florence (September 14, 2018) in Robeson County, North Carolina",Core_direct,6,0.08674408135171653,0.13339736580793102,0.10508089502975329
WCC09387,2022,Wildfire-resilient mechanical ventilation systems for single-detached homes in cities of Western Canada,Contextual_or_indirect,15,0.06342608837847089,0.13753472904889416,0.12604407906774712
WCC08500,2022,Prediction of the radioactive potential of fires: comparing two techniques using spatial regression,Core_direct,12,0.07376274428645284,0.11627916537533518,0.037033331781393036
WCC02813,2018,Developing Adaptive Approaches to Forest Harvest Management in Boreal Alaska Under Rapid Climate Change,Core_direct,1,0.05728686481031661,0.14573862134072185,-0.025602690052386606
WCC12520,2012,Sensitivity of fire weather index to different reanalysis products in the Iberian Peninsula,Contextual_or_indirect,2,0.15768850154755218,0.1736132428876285,0.04410694712124921
WCC10148,2023,Uncertainty assessment of remote sensing- and ground-based methods to estimate wildfire emissions: a case study in Calabria region (Italy),Core_direct,7,0.10951595621874823,0.1974163037412419,0.01465038401155502
WCC00403,2005,Impacts of climate change on forest product markets: Implications for North American producers,Core_direct,13,0.05627187457009096,0.1330856805712864,-0.011890790579251192
WCC01557,2018,Climate Change and Drought: a Perspective on Drought Indices,Core_direct,2,0.03732850320882916,0.17873401875413247,0.014646960548021897
WCC01278,2024,Drought before fire increases tree mortality after fire,Core_direct,1,0.1596605442308695,0.19366799192214065,-0.08488857651890451
WCC06319,2024,"Rebuttal of Sweatman, Powell, and West's ""Rejection of Holliday et al.'s alleged refutation of the Younger Dryas Impact Hypothesis""",Core_direct,3,0.04152413993263938,0.09172747116832367,0.01164388920105005
WCC02331,2013,"Climate change, extreme weather events, air pollution and respiratory health in Europe",Core_direct,15,0.11078207499425058,0.1724836430278456,0.20319797356835667
WCC09982,2000,Century-scale climate forcing of fire regimes in the American Southwest,Core_direct,14,0.09453775455680247,0.17190769127239747,-0.07327381461304915
WCC10571,2009,Patterns of Total Ecosystem Carbon Storage with Changes in Soil Temperature in Boreal Black Spruce Forests,Core_direct,8,0.0960877703567713,0.16730048414969045,-0.14735775612111593
WCC01517,2023,Integrated wildfire danger models and factors: A review,Core_direct,12,0.07933203070180281,0.1708156782228374,0.10049746127763207
WCC04404,2004,Ecological responses to El Nino-induced surface fires in central Brazilian Amazonia: management implications for flammable tropical forests,Contextual_or_indirect,11,0.049855535451165306,0.18134158782006451,-0.0629931999978576
WCC04860,2023,Prediction of Streamflow Drought Index for Short-Term Hydrological Drought in the Semi-Arid Yesilirmak Basin Using Wavelet Transform and Artificial Intelligence Techniques,Core_direct,12,0.08218945962325667,0.11142004688231875,0.033224359373484454
WCC00993,2022,The 2022 Europe report of the Lancet Countdown on health and climate change: towards a climate resilient future,Contextual_or_indirect,15,0.04051665413076953,0.1625658987559162,0.11442629297119465
WCC06720,2022,Short-Term Effects and Vegetation Response after a Megafire in a Mediterranean Area,Core_direct,11,0.061908014359762446,0.20319226750191352,-0.06699626783696025
WCC05362,2023,Construction and empirical testing of comprehensive risk evaluation methods from a multi-dimensional risk matrix perspective: taking specific types of natural disasters risk in China as an example,Core_direct,6,0.06456039990236156,0.14399458618321345,0.10206708597858888
WCC12852,2018,"Long-term cloud condensation nuclei number concentration, particle number size distribution and chemical composition measurements at regionally representative observatories",Core_direct,5,0.07801540412227144,0.17432574132177775,-0.025518379591665412
WCC00798,2020,Mountain specific multi-hazard risk management framework (MSMRMF): Assessment and mitigation of multi-hazard and climate change risk in the Indian Himalayan Region,Core_direct,6,0.10188724353882299,0.14548679802342307,0.13335935832623103
WCC02880,2019,Forest succession and climate variability interacted to control fire activity over the last four centuries in an Alaskan boreal landscape,Core_direct,3,0.07119804139749901,0.1907887397337783,-0.12397502622525004
WCC04932,2019,The Changing Climate: Managing Health Impacts,Core_direct,15,0.0919488479846781,0.1455669007307402,0.18896659143193087
WCC11933,2017,Changing spatial patterns of stand-replacing fire in California conifer forests,Contextual_or_indirect,1,0.07487396551162352,0.20188986494993846,-0.031982854826706514
WCC03605,2021,Deeper burning in a boreal fen peatland 1-year post-wildfire accelerates recovery trajectory of carbon dioxide uptake,Contextual_or_indirect,11,0.09576549583140649,0.18631782465470725,-0.13679015922425553
WCC09370,2024,Deer exclusion is necessary to promote post-fire herbaceous regeneration in the understorey of a Mediterranean forest,Core_direct,10,0.06950831714024978,0.15088712435221988,-0.08115476570794064
WCC03104,2019,"Factors that affect the timing of the dispatch of initial attack resources to forest fires in northeastern Ontario, Canada",Contextual_or_indirect,2,0.05542561325722409,0.1302277219588444,0.022719546330088623
WCC00989,2023,Quantifying the contribution of major carbon producers to increases in vapor pressure deficit and burned area in western US and southwestern Canadian forests,Core_direct,13,0.06903076689742357,0.1860966208370424,-0.01885790500409364
WCC04926,2021,Do forest fuel reduction treatments confer resistance to beetle infestation and drought mortality?,Core_direct,1,0.1350363553743342,0.1670638454591784,-0.059280141204484375
WCC01524,2023,Future transitions from a conifer to a deciduous-dominated landscape are accelerated by greater wildfire activity and climate change in interior Alaska,Core_direct,1,0.0677074091434289,0.18016341676299405,-0.11876637459298163
WCC02654,2018,Estimating climate change effects on grazing management and beef cattle production in the Pacific Northwest,Core_direct,13,0.04480890161364598,0.12429075151792528,0.009725728244355851
WCC10738,2025,Five Years of Hourly Soil Water Potential Monitoring Demonstrates Forest Thinning Benefits in the North American Southwest,Core_direct,1,0.10860638865430301,0.17990535061366073,-0.0641128752197835
WCC02586,2017,Wildfire air pollution hazard during the 21st century,Core_direct,15,0.08655916409165831,0.1975743579323243,0.11157370775401597
WCC00888,2023,AttentionFire_v1.0: interpretable machine learning fire model for burned-area predictions over tropics,Core_direct,12,0.09232056416712534,0.1450043316457454,0.005040319945095302
WCC07050,2017,Scaling up flammability from individual leaves to fuel beds,Core_direct,10,0.04736596108573797,0.14984246939349666,-0.03806371105809599
WCC11897,2025,Retrieval of aerosol properties from aerosol optical depth measurements with high temporal resolution and spectral range,Core_direct,5,0.13040092026009253,0.16164180080529805,-0.014963330410808382
WCC06834,2023,Fire modifies plant-soil feedbacks,Core_direct,10,0.052807745355973455,0.18676973989980425,-0.10672143379892389
WCC01992,2021,"NMDI application for monitoring different vegetation covers in the Atlantic Forest biome, Brazil",Core_direct,7,0.08002215994576,0.2035901195095681,-0.010177456024291338
WCC01621,2020,Spatial clustering using neighborhood for multispectral images,Core_direct,7,0.040216082148460904,0.11069915693726315,0.046471273041032865
WCC02730,2025,Assessing Wildfire Risk in South Korea Under Climate Change Using the Maximum Entropy Model and Shared Socioeconomic Pathway Scenarios,Core_direct,13,0.04650312942222453,0.14847379310459288,0.04402941853076854
WCC03479,2015,Temperate forest health in an era of emerging megadisturbance,Core_direct,1,0.04759766182953057,0.1555317224572443,0.021540824128054473
WCC03467,2022,Wind and fire: Rapid shifts in tree community composition following multiple disturbances in the southern boreal forest,Core_direct,1,0.08671540285831424,0.1764566679433221,-0.09668479667664377
WCC01577,2023,Aerobic and anaerobic burning alter trace metal availability in peat soils: evidence from laboratory experiments,Core_direct,8,0.05631939174530182,0.1440096340006428,-0.052219099586805214
WCC04765,2024,Impact of climate change on atopic dermatitis: A review by the International Eczema Council,Core_direct,15,0.055089529561059634,0.16926533231775348,0.10790607635571554
WCC09172,2021,Assessing the Risk of Losing Forest Ecosystem Services Due to Wildfires,Core_direct,6,0.03538105985145517,0.20248378473297168,0.028643992472492826
WCC02614,2017,Wildfire smoke exposure and human health: Significant gaps in research for a growing public health issue,Contextual_or_indirect,15,0.14398712697707067,0.15266690504602912,0.2184353909129225
WCC05659,2010,Climate change and outbreaks of Southern Pine Beetle Dendroctonus frontalis in Honduras,Core_direct,1,0.08485808382838793,0.16176735229299816,-0.007522759671882734
WCC09697,2022,Projections of fire probability and ecosystem vulnerability under 21st century climate across a trans-Andean productivity gradient in Patagonia,Contextual_or_indirect,13,0.0749748473598405,0.20140503285750636,-0.06819599398680962
WCC07459,2023,Antarctic extreme events,Contextual_or_indirect,9,0.10742436722186693,0.15779932257975837,0.058507745082146276
WCC06270,2011,"Linking tree-ring and sediment-charcoal records to reconstruct fire occurrence and area burned in subalpine forests of Yellowstone National Park, USA",Core_direct,3,0.09445084863836499,0.17912559673729989,-0.11409387942641701
WCC03889,2022,"Interpreting the mammal deposits of Cloggs Cave (SE Australia), GunaiKurnai Aboriginal Country, through community-led partnership research",Core_direct,3,0.04676704723156803,0.12852051590178823,-0.039170380698547634
WCC07611,2017,Spatiotemporal characteristics of wildfire frequency and relative area burned in larch-dominated forests of Central Siberia,Core_direct,14,0.050253741340793856,0.13153092756586607,-0.08294753989067631
WCC06219,2025,Understanding forest fragmentation dynamics and identifying drivers for forest cover loss using random forest models to develop effective forest management strategies in North-East India,Contextual_or_indirect,7,0.10225092763770063,0.21237040896818996,0.03499401897246675
WCC10439,2021,Fine Particles in Wildfire Smoke and Pediatric Respiratory Health in California,Contextual_or_indirect,15,0.11045380736153786,0.11320910582665333,0.13164521436594903
WCC04650,2022,From burned slopes to streams: how wildfire affects nitrogen cycling and retention in forests and fire-prone watersheds,Core_direct,8,0.04577401769683916,0.11886092203723632,0.0008394519901919583
WCC03538,2022,The affective dimension of crisis subjects: Teaching Environmental Communication through intersecting crises,Core_direct,6,0.06268567058544788,0.10196162261079174,0.12611395174376674
WCC03482,2015,"Fire management, climate change and their interacting effects on birds in complex Mediterranean landscapes: dynamic distribution modelling of an early-successional species-the near-threatened Dartford Warbler (Sylvia undata)",Core_direct,10,0.09205634482324654,0.18740200330663184,-0.007906440123363983
WCC06258,2013,Simulating boreal forest carbon dynamics after stand-replacing fire disturbance: insights from a global process-based vegetation model,Core_direct,4,0.07888514039896799,0.23268954219128085,-0.14423055847782068
WCC02769,2025,"Spatial Mapping of Thermal Anomalies and Change Detection in the Sierra Madre Occidental, Mexico, from 2000 to 2024",Core_direct,7,0.08893720115654409,0.19490004976361064,-0.03262029844336998
WCC03249,2012,"Atmospheric interactions with wildland fire behaviour - I. Basic surface interactions, vertical profiles and synoptic structures",Contextual_or_indirect,5,0.037005671150413415,0.12123875762838923,0.023828794178436533
WCC11305,2020,Characterizing spatial patterns of pine bark beetle outbreaks during the dry and rainy season's in Honduras with the aid of geographic information systems and remote sensing data,Core_direct,7,0.08604747257029273,0.19223302703486042,0.00585120505692467
WCC06245,2017,Post-fire recovery of litter detritivores is limited by distance from burn edge,Core_direct,10,0.07879740808088537,0.1669670222659121,-0.06805523441159585
WCC08110,2022,Insight into the Taxonomic and Functional Diversity of Bacterial Communities Inhabiting Blueberries in Portugal,Core_direct,10,0.06728996599863485,0.1156805781413215,-0.02997517172057825
WCC12674,2024,Enhanced Pacific Northwest heat extremes and wildfire risks induced by the boreal summer intraseasonal oscillation,Contextual_or_indirect,14,0.06835110859385556,0.14631266633161466,-0.015802863881424108
WCC12302,2023,Critical fire weather conditions during active fire spread days in Canada,Contextual_or_indirect,2,0.13712580441568595,0.17567448837995026,0.025842770686615966
WCC03794,2017,"Recent increase of surface particulate matter concentrations in the Seoul Metropolitan Area, Korea",Contextual_or_indirect,14,0.04692455107342088,0.14299825466512828,0.019644144033392784
WCC11847,2016,"Aerosol optical, microphysical and radiative properties at regional background insular sites in the western Mediterranean",Core_direct,5,0.1279464503557703,0.14827733740596305,-0.027012753862080945
WCC00946,2018,Modeling Burned Areas in Indonesia: The FLAM Approach,Core_direct,4,0.05724454921194043,0.13968172220484304,0.018391511757333508
WCC12726,2011,Empirical determinations of the longwave and shortwave radiative forcing efficiencies of wildfire smoke,Core_direct,5,0.1331854945568861,0.13176450005104723,-0.001641023100614568
WCC00242,2018,An impact analysis of climate change on the forestry industry in Quebec,Core_direct,2,0.017771034661412992,0.10200211676806852,0.026578483200016288
WCC04354,2023,Development of a prototype modeling system to estimate the GHG mitigation potential of forest and wildfire management,Core_direct,4,0.06541442965412689,0.1528974018165823,0.01016884622841943
WCC00504,2022,Trace gas emissions from laboratory combustion of leaves typically consumed in forest fires in Southwest China,Core_direct,4,0.0710537193783294,0.13285251423749078,-0.0335025598760637
WCC02089,2009,Applied Climate-Change Analysis: The Climate Wizard Tool,Core_direct,13,0.058344497474791195,0.1818519126426367,0.03724735484969169
WCC00267,2017,Mortality due to Vegetation Fire-Originated PM2.5 Exposure in Europe-Assessment for the Years 2005 and 2008,Core_direct,15,0.09111472810899673,0.2040753149966151,0.10781780490266028
WCC05631,2021,"Fire, mortality and resprouting in forest species at Sierra Norte de Puebla",Core_direct,1,0.08363162448800608,0.13130892287260604,-0.03147134977754606
WCC07339,2018,Large-scale restoration increases carbon stability under projected climate and wildfire regimes,Core_direct,0,0.0608645446317553,0.1721034058753267,-0.025338251234972617
WCC10427,2020,Hydrophobicity of peat soils: Characterization of organic compound changes associated with heat-induced water repellency,Core_direct,8,0.08753472622865781,0.1569958846572415,-0.08120754987994647
WCC01458,2023,The implications of climate change for emergency management: the example of Australia,Core_direct,6,0.08019393728421896,0.12193212013091939,0.10684940015730698
WCC03867,2016,"Modeling fire size of wildfires in Castellon (Spain), using spatiotemporal marked point processes",Core_direct,6,0.022619044954659443,0.16945939778840666,0.025993961089112467
WCC04949,2019,The Iberian Peninsula's Burning Heart-Long-Term Fire History in the Toledo Mountains (Central Spain),Core_direct,3,0.11686489338456177,0.19193999633110453,-0.08889341845473309
WCC12268,2004,Drought and Pacific Decadal Oscillation linked to fire occurrence in the inland Pacific Northwest,Core_direct,14,0.12266983249886156,0.15461727955680316,-0.08166748180912349
WCC05122,2022,"Modelling initial attack success on forest fires suppressed by air attack in the province of Ontario, Canada",Contextual_or_indirect,2,0.03917679861047026,0.13165300437839497,0.04503334898248429
WCC09391,2014,Inductive pattern-based land use/cover change models: A comparison of four software packages,Contextual_or_indirect,7,0.054847831917251524,0.13483479558828787,0.022780417542847743
WCC11574,2018,Large-Scale Smoke Haze over the European Part of Russia and Belorus in July 2016,Core_direct,5,0.11917269144051067,0.12091562679168419,0.011079027165060047
